"Параметр
размера
распределения 
Росина- Раммлера. м
"	"Параметр 
ширины 
распределения Росина - Раммлера"	"Диаметр 
представительных 
частиц. м
"	"Скорость
ввода 
завесного 
охлаждения.
м/с"	"Осевая компонента
скорости"	Радиальная компонента скорости	Тангенциальная компонента скорости	Средний диаметр Заутера. м	"Расходный комплекс. 
м/с"	Давление. Па			
0.000078	7.036218	0.00018	2.194975	3.362652	1.376777	2.905477	0.0000768	1217.665	732495			
0.0000463	12.76378	0.000113	2.194975	2.337348	1.376777	2.905477	0.0000452	1223.572	736048			
0.000078	12.76378	0.00018	2.194975	2.337348	1.376777	2.905477	0.0000762	1238.24	744872			
0.000078	12.76378	0.000113	2.194975	3.362652	1.376777	2.905477	0.0000762	1240.075	745976			
0.000078	12.76378	0.000113	2.194975	2.337348	1.376777	2.014523	0.0000762	1241.906	747077			
0.000078	7.036218	0.00018	2.194975	2.337348	1.376777	2.014523	0.0000768	1283.335	771999			
0.0000463	7.036218	0.000113	2.194975	2.337348	1.376777	2.014523	0.0000456	1266.316	761761			
0.000078	7.036218	0.000113	2.194975	2.337348	1.023223	2.014523	0.0000768	1276.68	767996			
0.0000463	12.76378	0.00018	2.194975	3.362652	1.023223	2.014523	0.0000452	1268.187	762887			
0.000078	7.036218	0.00018	2.194975	2.337348	1.023223	2.905477	0.0000768	1278.572	769134			
0.000078	12.76378	0.000113	2.194975	2.337348	1.023223	2.905477	0.0000762	1289.893	775944			
0.0000463	7.036218	0.00018	2.194975	3.362652	1.023223	2.905477	0.0000456	1294.308	778600			
0.0000463	7.036218	0.000113	2.194975	3.362652	1.023223	2.014523	0.0000456	1324.358	796677			
0.0000463	7.036218	0.00018	2.194975	3.362652	1.376777	2.014523	0.0000456	1330.607	800436			
0.0000463	12.76378	0.000113	2.194975	3.362652	1.376777	2.014523	0.0000452	1338.332	805083			
0.0000463	7.036218	0.00018	2.194975	2.337348	1.023223	2.014523	0.0000456	1333.443	802142			
0.0000463	7.036218	0.000113	2.194975	3.362652	1.376777	2.905477	0.0000456	1335.689	803493			
0.0000463	12.76378	0.00018	2.194975	2.337348	1.023223	2.905477	0.0000452	1346.513	810004			
0.000078	7.036218	0.000113	2.194975	3.362652	1.376777	2.014523	0.0000768	1360.576	818464			
0.0000463	7.036218	0.000113	2.194975	2.337348	1.023223	2.905477	0.0000456	1365.964	821705			
0.0000463	12.76378	0.000113	2.194975	2.337348	1.023223	2.014523	0.0000452	1375.976	827728			s
0.000078	7.036218	0.000113	2.194975	3.362652	1.023223	2.905477	0.0000768	1376.179	827850			
0.000078	12.76378	0.000113	2.194975	3.362652	1.023223	2.014523	0.0000762	1386.231	833897			
0.000217	12	0.0001	1	3	2	2.1	0.000212	1185.89	713019			
0.00071	14	0.0001	1	3	2	2.1	0.000694	1083.236	651298			
0.000421	18	0.0001	1	3	2	2.1	0.000413	1183.251	711432			
0.00051	18	0.0001	1	3	2	2.1	0.0005	1168.001	702263			
0.00057	14	0.0001	1	3	2	2.1	0.000557	1153.407	693488			
0.00063	18	0.0001	1	3	2	2.14	0.000617	1154.694	694262			
0.00067	15	0.0001	1	3	2	2.1	0.000655	1118.102	672261			
0.000704	14	0.0001	1	3	2	2.1	0.000688	1078.079	648197			
0.000898	14	0.0001	1	3	2	2.1	0.000876	1078.915	648700			
